cnae,risco,codigo_louos,enquadramento1,perguntas,regras,condicionantes
1340-5/01,BAIXO RISCO,07.09.17,nR1-09,2|3,2|3,1|3|4
1340-5/01,BAIXO RISCO,07.12.13,nR1-12,2|3,2|3,1|30
1340-5/02,MÉDIO RISCO,07.09.15,nR2-09,11,5,1|3|4
1340-5/02,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
1340-5/99,ALTO,09.11.19,ID3-11,2|3,2|3,1|3|4|7|8|10
1340-5/99,BAIXO RISCO,07.09.17,nR1-09,2|3,2|3,1|3|4
1340-5/99,BAIXO RISCO,07.12.13,nR1-12,2|3,2|3,1|30
1351-1/00,ALTO,09.11.01,ID1-11,2|3,2|3,1|3|4|7|8|10
1351-1/00,BAIXO RISCO,07.09.05,nR1-09,2|3,2|3,1|3|4
1351-1/00,BAIXO RISCO,07.12.13,nR1-12,2|3,2|3,1|30
1352-9/00,ALTO,09.11.04,ID2-11,2|3,2|3,1|3|4|7|8|10
1352-9/00,BAIXO RISCO,07.09.05,nR1-09,2|3,2|3,1|3|4
1352-9/00,BAIXO RISCO,07.12.13,nR1-12,2|3,2|3,1|30
1353-7/00,BAIXO RISCO,07.09.17,nR1-09,2|3,2|3,
1353-7/00,ALTO,09.11.07,ID2-11,2|3,2|3,1|3|4|7|8|10
1353-7/00,BAIXO RISCO,07.12.13,nR1-12,2|3,2|3,1|30
1354-5/00,ALTO,09.11.05,ID2-11,2|3,2|3,1|3|4|7|8|10
1354-5/00,BAIXO RISCO,07.09.05,nR1-09,2|3,2|3,1|3|4
1354-5/00,BAIXO RISCO,07.12.13,nR1-12,2|3,2|3,1|30
1359-6/00,ALTO,09.11.06,ID2-11,2|3,2|3,1|3|4|7|8|10
1359-6/00,BAIXO RISCO,07.09.05,nR1-09,2|3,2|3,1|3|4
1359-6/00,BAIXO RISCO,07.12.13,nR1-12,2|3,2|3,1|30
1411-8/01,BAIXO RISCO,07.09.05,nR1-09,2|3,2|3,1|3|4
1411-8/01,BAIXO RISCO,07.12.13,nR1-12,2|3,2|3,1|30
1411-8/01,ALTO,09.11.02,ID1-11,2|3,2|3,1|3|4|7|8|10
1411-8/02,BAIXO RISCO,07.09.05,nR1-09,2|3,2|3,1|3|4
1411-8/02,BAIXO RISCO,07.12.13,nR1-12,2|3,2|3,1|30
1411-8/02,ALTO,09.11.02,ID1-11,2|3,2|3,1|3|4|7|8|10
1412-6/01,ALTO,09.11.02,ID1-11,2|3,2|3,1|3|4|7|8|10
1412-6/01,BAIXO RISCO,07.09.05,nR1-09,2|3,2|3,1|3|4
1412-6/01,BAIXO RISCO,07.12.13,nR1-12,2|3,2|3,1|30
1412-6/02,BAIXO RISCO,07.09.05,nR1-09,2|3,2|3,1|3|4
1412-6/02,ALTO,09.11.02,ID1-11,2|3,2|3,1|3|4|7|8|10
1412-6/02,BAIXO RISCO,07.12.13,nR1-12,2|3,2|3,1|30
1412-6/03,BAIXO RISCO,07.09.05,nR1-09,2|3,2|3,1|3|4
1412-6/03,ALTO,09.11.02,ID1-11,2|3,2|3,1|3|4|7|8|10
1412-6/03,BAIXO RISCO,07.12.13,nR1-12,2|3,2|3,1|30
1413-4/01,BAIXO RISCO,07.09.05,nR1-09,2|3,2|3,1|3|4
1413-4/01,BAIXO RISCO,07.12.13,nR1-12,2|3,2|3,1|30
1413-4/01,ALTO,09.11.02,ID1-11,2|3,2|3,1|3|4|7|8|10
1413-4/02,BAIXO RISCO,07.09.05,nR1-09,2|3,2|3,1|3|4
1413-4/02,BAIXO RISCO,07.12.13,nR1-12,2|3,2|3,1|30
1413-4/02,ALTO,09.11.02,ID1-11,2|3,2|3,1|3|4|7|8|10
1413-4/03,BAIXO RISCO,07.09.05,nR1-09,2|3,2|3,1|3|4
1413-4/03,BAIXO RISCO,07.12.13,nR1-12,2|3,2|3,1|30
1413-4/03,ALTO,09.11.02,ID1-11,2|3,2|3,1|3|4|7|8|10
1414-2/00,ALTO,09.11.02,ID1-11,2|3,2|3,1|3|4|7|8|10
1414-2/00,BAIXO RISCO,07.09.05,nR1-09,2|3,2|3,1|3|4
1414-2/00,BAIXO RISCO,07.12.13,nR1-12,2|3,2|3,1|30
1421-5/00,ALTO,09.11.10,ID2-11,2|3,2|3,1|3|4|7|8|10
1421-5/00,BAIXO RISCO,07.09.05,nR1-09,2|3,2|3,1|3|4
1421-5/00,BAIXO RISCO,07.12.13,nR1-12,2|3,2|3,1|30
1422-3/00,ALTO,09.11.11,ID2-11,2|3,2|3,1|3|4|7|8|10
1422-3/00,BAIXO RISCO,07.09.05,nR1-09,2|3,2|3,1|3|4
1422-3/00,BAIXO RISCO,07.12.13,nR1-12,2|3,2|3,1|30
1510-6/00,ALTO,09.05.02,ID3-05,11,5,1|3|4|7|8|10
1510-6/00,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
1521-1/00,ALTO,09.05.01,ID2-05,2|3,2|3,1|3|4|7|8|10
1521-1/00,BAIXO RISCO,07.09.17,nR1-09,2|3,2|3,1|3|4
1521-1/00,BAIXO RISCO,07.12.13,nR1-12,2|3,2|3,1|30
1529-7/00,ALTO,09.05.01,ID2-05,2|3,2|3,1|3|4|7|8|10
1529-7/00,BAIXO RISCO,07.09.09,nR2-09,2|3,2|3,1|3|4
1529-7/00,BAIXO RISCO,07.12.13,nR1-12,2|3,2|3,1|30
1531-9/01,ALTO,09.05.01,ID2-05,2|3,2|3,1|3|4|7|8|10
1531-9/01,BAIXO RISCO,07.09.17,nR1-09,2|3,2|3,1|3|4
1531-9/01,BAIXO RISCO,07.12.13,nR1-12,2|3,2|3,1|30
1531-9/02,ALTO,09.05.01,ID2-05,2|3,2|3,1|3|4|7|8|10
1531-9/02,BAIXO RISCO,07.09.05,nR1-09,2|3,2|3,1|3|4
1531-9/02,BAIXO RISCO,07.12.13,nR1-12,2|3,2|3,1|30
1532-7/00,ALTO,09.05.01,ID2-05,11,5,1|3|4|7|8|10
1532-7/00,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
1533-5/00,ALTO,09.05.01,ID2-05,2|3,2|3,1|3|4|7|8|10
1533-5/00,BAIXO RISCO,07.09.17,nR1-09,2|3,2|3,1|3|4
1533-5/00,BAIXO RISCO,07.12.13,nR1-12,2|3,2|3,1|30
1539-4/00,ALTO,09.05.01,ID2-05,2|3,2|3,1|3|4|7|8|10
1539-4/00,BAIXO RISCO,07.09.05,nR1-09,2|3,2|3,1|3|4
1539-4/00,BAIXO RISCO,07.12.13,nR1-12,2|3,2|3,1|30
1540-8/00,ALTO,09.05.01,ID2-05,2|3,2|3,1|3|4|7|8|10
1540-8/00,BAIXO RISCO,07.09.05,nR1-09,2|3,2|3,1|3|4
1540-8/00,BAIXO RISCO,07.12.13,nR1-12,2|3,2|3,1|30
1610-2/03,ALTO,09.09.01,ID2-09,11,5,1|3|4|7|8|10
1610-2/03,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
1610-2/04,MÉDIO RISCO,07.09.08,nR2-09,11,5,1|3|4|7|10
1610-2/04,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
1610-2/05,MÉDIO RISCO,07.09.17,nR1-09,11,5,1|3|4
1610-2/05,BAIXO RISCO,07.12.13,nR1-12,11,5,1|30
