classe_via,grupo_uso,condicoes,base_legal
VA II,ID2-05,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,ID2-05,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,ID2-05,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,ID2-06,Não,Lei nº 9.148/2016 — Quadro 11A
VL,ID2-06,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,ID2-06,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,ID2-06,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,ID2-06,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,ID2-06,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,ID2-06,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,ID2-07,Não,Lei nº 9.148/2016 — Quadro 11A
VL,ID2-07,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,ID2-07,Sim,Lei nº 9.148/2016 — Quadro 11A
